transaction_id,customer_id,amount,payment_method,bank_code,failure_code,failure_type,customer_tenure_months,failure_timestamp,customer_reply_intent
txn_10000,cust_2326,999,NACH,SBI,INSUFFICIENT_FUNDS,soft_user,9,2026-08-30 13:56:08,NONE
txn_10001,cust_2151,999,CARD_RECURRING,ICICI,EXPIRED_CARD,hard_failure,9,2026-08-20 06:56:08,CANCEL_REQUEST
txn_10002,cust_2078,2999,NACH,AXIS,GATEWAY_TIMEOUT,soft_tech,30,2026-08-29 03:56:08,FAILED_AGAIN
txn_10003,cust_2298,299,NETBANKING,KOTAK,ISSUER_DOWN,soft_tech,5,2026-08-20 18:56:08,CANCEL_REQUEST
txn_10004,cust_2216,499,UPI_AUTOPAY,ICICI,INSUFFICIENT_FUNDS,soft_user,18,2026-08-17 14:56:08,PAY_LATER
txn_10005,cust_2338,499,CARD_RECURRING,AXIS,INSUFFICIENT_FUNDS,soft_user,11,2026-08-19 01:56:08,NONE
txn_10006,cust_2317,4999,NETBANKING,AXIS,INSUFFICIENT_FUNDS,soft_user,14,2026-08-28 21:56:08,FAILED_AGAIN
txn_10007,cust_2270,4999,UPI_AUTOPAY,HDFC,MANDATE_REVOKED,hard_failure,12,2026-08-21 04:56:08,NONE
txn_10008,cust_2237,4999,NETBANKING,SBI,ISSUER_DOWN,soft_tech,18,2026-08-25 23:56:08,PAY_LATER
txn_10009,cust_2241,4999,NACH,KOTAK,GATEWAY_TIMEOUT,soft_tech,31,2026-08-22 13:56:08,CANCEL_REQUEST
txn_10010,cust_2258,299,CARD_RECURRING,KOTAK,INSUFFICIENT_FUNDS,soft_user,4,2026-08-20 21:56:08,CANCEL_REQUEST
txn_10011,cust_2339,1499,NACH,KOTAK,EXPIRED_CARD,hard_failure,10,2026-08-25 23:56:08,CANCEL_REQUEST
txn_10012,cust_2315,1499,NETBANKING,ICICI,MANDATE_REVOKED,hard_failure,17,2026-08-24 11:56:08,NONE
txn_10013,cust_2236,2999,NETBANKING,ICICI,INSUFFICIENT_FUNDS,soft_user,1,2026-08-22 23:56:08,NONE
txn_10014,cust_2043,4999,CARD_RECURRING,KOTAK,INSUFFICIENT_FUNDS,soft_user,15,2026-08-20 15:56:08,PAY_LATER
txn_10015,cust_2212,2999,NETBANKING,AXIS,INSUFFICIENT_FUNDS,soft_user,22,2026-08-26 12:56:08,NONE
txn_10016,cust_2242,1499,UPI_AUTOPAY,AXIS,INSUFFICIENT_FUNDS,soft_user,19,2026-08-24 07:56:08,FAILED_AGAIN
